Symbol;Nom
ACA.PA;Crédit Agricole S.A.
ORA.PA;Orange S.A.
CAP.PA;Carrefour SA
CA.PA;Capgemini SE
ML.PA;Compagnie Générale des Établissements Michelin Société en commandite par actions
MC.PA;Kering SA
KER.PA;Atos SE
ATO.PA;LVMH Moët Hennessy - Louis Vuitton, Société Européenne
RI.PA;Pernod Ricard SA
VIE.PA;Veolia Environnement SA
SGO.PA;Compagnie de Saint-Gobain S.A.
WLN.PA;Worldline S.A.
ENGI.PA;Engie SA
BN.PA;Danone S.A.
AIR.PA;Airbus SE
GLE.PA;Société Générale Société anonyme
DG.PA;BNP Paribas SA
VIV.PA;Thales S.A.
BNP.PA;Vinci SA
SAN.PA;Sanofi
HO.PA;Vivendi SE
OR.PA;L'Oreal SA
EN.PA;Bouygues SA
AC.PA;Sodexo S.A.
SW.PA;Accor SA
AI.PA;L'Air Liquide S.A.
LR.PA;Legrand SA
SU.PA;Schneider Electric S.E.
